iteration,from,to,latency_ms,status
1,fs,sbs,188.0,ok
2,sbs,fs,198.1,ok
3,fs,sbs,195.2,ok
4,sbs,fs,196.3,ok
5,fs,sbs,197.2,ok
6,sbs,fs,197.1,ok
7,fs,sbs,195.4,ok
8,sbs,fs,197.8,ok
9,fs,sbs,195.1,ok
10,sbs,fs,197.4,ok
11,fs,sbs,197.5,ok
12,sbs,fs,195.2,ok
13,fs,sbs,198.0,ok
14,sbs,fs,196.5,ok
15,fs,sbs,196.6,ok
16,sbs,fs,196.7,ok
17,fs,sbs,197.1,ok
18,sbs,fs,195.5,ok
19,fs,sbs,196.2,ok
20,sbs,fs,196.6,ok
21,fs,sbs,197.4,ok
22,sbs,fs,195.4,ok
23,fs,sbs,196.6,ok
24,sbs,fs,195.9,ok
25,fs,sbs,197.3,ok
26,sbs,fs,196.4,ok
27,fs,sbs,196.3,ok
28,sbs,fs,198.1,ok
29,fs,sbs,196.3,ok
30,sbs,fs,196.8,ok
31,fs,sbs,196.3,ok
32,sbs,fs,196.4,ok
33,fs,sbs,196.8,ok
34,sbs,fs,196.1,ok
35,fs,sbs,197.0,ok
36,sbs,fs,196.8,ok
37,fs,sbs,196.2,ok
38,sbs,fs,196.5,ok
39,fs,sbs,196.4,ok
40,sbs,fs,197.1,ok
41,fs,sbs,195.4,ok
42,sbs,fs,177.3,ok
43,fs,sbs,195.2,ok
44,sbs,fs,197.4,ok
45,fs,sbs,197.5,ok
46,sbs,fs,196.8,ok
47,fs,sbs,197.5,ok
48,sbs,fs,195.8,ok
49,fs,sbs,197.7,ok
50,sbs,fs,175.6,ok
51,fs,sbs,196.2,ok
52,sbs,fs,197.1,ok
53,fs,sbs,197.4,ok
54,sbs,fs,196.3,ok
55,fs,sbs,196.6,ok
56,sbs,fs,177.5,ok
57,fs,sbs,196.2,ok
58,sbs,fs,196.8,ok
59,fs,sbs,195.4,ok
60,sbs,fs,195.8,ok
61,fs,sbs,196.3,ok
62,sbs,fs,196.4,ok
63,fs,sbs,196.6,ok
64,sbs,fs,196.3,ok
65,fs,sbs,197.2,ok
66,sbs,fs,197.8,ok
67,fs,sbs,194.9,ok
68,sbs,fs,196.8,ok
69,fs,sbs,196.7,ok
70,sbs,fs,177.3,ok
71,fs,sbs,196.6,ok
72,sbs,fs,196.7,ok
73,fs,sbs,196.3,ok
74,sbs,fs,198.4,ok
75,fs,sbs,195.5,ok
76,sbs,fs,197.9,ok
77,fs,sbs,196.1,ok
78,sbs,fs,196.7,ok
79,fs,sbs,197.0,ok
80,sbs,fs,196.3,ok
81,fs,sbs,196.8,ok
82,sbs,fs,197.3,ok
83,fs,sbs,197.2,ok
84,sbs,fs,195.5,ok
85,fs,sbs,196.4,ok
86,sbs,fs,178.2,ok
87,fs,sbs,196.7,ok
88,sbs,fs,196.4,ok
89,fs,sbs,196.7,ok
90,sbs,fs,197.2,ok
91,fs,sbs,195.2,ok
92,sbs,fs,197.1,ok
93,fs,sbs,197.3,ok
94,sbs,fs,196.9,ok
95,fs,sbs,197.3,ok
96,sbs,fs,195.5,ok
97,fs,sbs,196.8,ok
98,sbs,fs,197.6,ok
99,fs,sbs,195.5,ok
100,sbs,fs,196.7,ok
